id,timeStamp,location,followers,friends,ntweets
38126,10,351,153,274,78
39765,1,260,124,152,3323
39796,10,665,29,41,703
39434,382,0,310,1024,2917
39793,1,429,3250,1461,822
39789,334,2,35987,1822,10065
39788,0,701,138,338,276
39780,1,425,35,159,328
39707,389,437,570,1213,1632
39277,519,150,335,150,7874
37679,250,782,141,369,1798
37687,268,0,2677,885,1977
39779,371,0,586,830,12209
39778,526,1040,44973,330,5117
39751,281,880,82,94,15397
39777,489,487,172,344,2383
38567,382,401,8059,970,22526
38671,574,593,375,1346,3704
38872,0,83,98,171,914
39003,12,888,160,290,7717
38831,19,466,734,953,15345
38054,350,403,7260,559,3016
39775,471,1115,825,1454,15143
39773,384,474,1298,1208,1373
37900,483,426,34759,907,10325
39770,500,1066,583,976,334
39388,486,150,362,309,18014
39764,20,57,365,1010,278
38343,593,487,243,297,2210
4406,336,928,44800,32124,65126
38829,561,757,98,155,2083
39768,7,719,25,92,15
38344,12,797,127,100,236
39763,266,326,296,693,9930
39692,439,450,673,240,20701
38871,6,473,493,295,18135
38566,6,0,5,21,4
38079,552,0,502957,2230,13660
39001,475,0,153,246,2725
38418,278,574,1923,2171,1780
39433,568,872,54,313,159
39432,553,487,254,362,8476
38358,540,51,105,131,99
38707,506,765,380,683,1917
37890,562,646,12399,8,1538
38121,472,492,280,79,5767
38220,425,656,1236,1170,544
39518,413,487,119,262,1438
37912,268,675,19262,284,7160
38565,315,919,1543,1901,22503
38564,346,947,239,245,1489
38853,15,588,26,71,44
38730,279,969,419,846,34721
39551,562,471,632,1997,1119
38670,5,487,205,411,1187
38219,7,18,23,85,13
38330,7,62,311,865,58
39761,292,0,44,52,64
37845,457,828,5397,445,24130
38663,283,389,483,1661,9828
39760,5,823,4,10,70
39838,20,487,1350,557,4731
39759,450,1021,87,248,908
39165,8,487,235,774,3883
38355,6,419,77,255,165
38826,4,174,509,124,2845
39164,570,986,553,1813,6070
39681,325,0,471,351,41125
1100,360,0,28859,9684,2358
38800,503,0,230,288,8049
39756,5,747,557,1991,474
38547,273,1095,825,1995,2418
39755,470,834,412,705,122
39753,540,1051,152,961,711
37878,463,197,454,392,8059
39752,567,0,130246,517,21035
37927,584,699,27849,195,8796
39550,7,456,397,1936,445
38417,288,564,294,235,3438
38256,6,624,26,38,8
38669,592,810,265,529,1420
38444,9,703,164,557,63
38631,480,800,333,1174,14508
39750,347,487,444,1240,6954
39749,321,273,1073,1823,2203
39259,423,444,839,705,10249
2418,353,954,347,392,5770
39748,7,860,164,497,1690
38798,491,0,253,208,11497
39601,509,444,65,142,241
38848,535,0,415,398,7654
39257,501,487,2060,402,7640
39747,329,522,6641,5472,100
37787,16,776,1237805,102777,4
39746,439,222,151,257,1424
39339,14,280,382,327,485
38823,2,754,34,99,1877
39745,556,855,1286,1992,4913
39743,400,851,208,340,2237
38994,470,418,16,55,39
39160,397,201,179822,96228,28757
38993,547,786,206,453,1417
39338,547,0,205,448,3342
38536,10,772,117,87,671
4039,425,25,443,330,8746
38026,451,431,67504,230,9911
38963,573,1110,96,398,887
39297,503,1127,57,73,138
37735,314,0,146,198,324
39741,555,0,94,100,4230
38827,437,112,2508,2652,9170
39413,468,487,176,177,9218
39706,447,316,6521,2129,7345
39740,1,0,39,186,68
39587,565,127,975,642,3772
37842,401,1083,9866,1217,37860
38491,506,733,31,78,20
38822,397,718,55,163,590
